person	meeting_title	start_time	end_time	duration_minutes
Person_1	Retrospective	2025-07-29 12:45:00	2025-07-29 15:45:00	180
Person_1	1:1 Meeting	2025-07-29 15:45:00	2025-07-29 16:00:00	15
Person_1	Training Session	2025-07-30 10:15:00	2025-07-30 14:15:00	240
Person_1	Retrospective	2025-07-30 14:15:00	2025-07-30 14:45:00	30
Person_1	Client Call	2025-07-30 14:45:00	2025-07-30 15:00:00	15
Person_1	Sprint Planning	2025-07-30 15:00:00	2025-07-30 15:45:00	45
Person_1	Sprint Planning	2025-07-31 10:30:00	2025-07-31 11:00:00	30
Person_1	Team Standup	2025-07-31 11:45:00	2025-07-31 12:30:00	45
Person_1	Demo	2025-07-31 13:15:00	2025-07-31 14:45:00	90
Person_1	Interview	2025-08-01 09:15:00	2025-08-01 10:15:00	60
Person_1	Planning Meeting	2025-08-01 12:15:00	2025-08-01 13:45:00	90
Person_1	Stakeholder Meeting	2025-08-01 13:45:00	2025-08-01 14:30:00	45
Person_1	Demo	2025-08-01 14:30:00	2025-08-01 14:45:00	15
Person_1	Budget Review	2025-08-01 15:15:00	2025-08-01 15:45:00	30
Person_1	Architecture Review	2025-08-04 09:00:00	2025-08-04 09:45:00	45
Person_1	Product Demo	2025-08-04 09:45:00	2025-08-04 12:45:00	180
Person_1	1:1 Meeting	2025-08-04 12:45:00	2025-08-04 14:15:00	90
Person_1	Stakeholder Meeting	2025-08-04 14:15:00	2025-08-04 15:00:00	45
Person_1	Project Review	2025-08-04 15:00:00	2025-08-04 16:00:00	60
Person_1	Code Review	2025-08-05 08:30:00	2025-08-05 12:30:00	240
Person_1	Demo	2025-08-05 12:30:00	2025-08-05 13:30:00	60
Person_1	Stakeholder Meeting	2025-08-05 13:30:00	2025-08-05 15:30:00	120
Person_1	Project Review	2025-08-06 08:00:00	2025-08-06 09:00:00	60
Person_1	Client Call	2025-08-07 08:45:00	2025-08-07 09:00:00	15
Person_1	Architecture Review	2025-08-07 09:00:00	2025-08-07 13:00:00	240
Person_1	Code Review	2025-08-07 13:00:00	2025-08-07 13:30:00	30
Person_1	All Hands	2025-08-07 13:30:00	2025-08-07 14:30:00	60
Person_1	Architecture Review	2025-08-07 14:30:00	2025-08-07 16:00:00	90
Person_1	Retrospective	2025-08-08 08:30:00	2025-08-08 09:00:00	30
Person_1	Code Review	2025-08-08 09:00:00	2025-08-08 11:00:00	120
Person_1	1:1 Meeting	2025-08-08 11:45:00	2025-08-08 14:45:00	180
Person_1	Planning Meeting	2025-08-11 11:30:00	2025-08-11 12:15:00	45
Person_1	Product Demo	2025-08-12 08:15:00	2025-08-12 08:45:00	30
Person_1	Product Demo	2025-08-12 11:45:00	2025-08-12 12:15:00	30
Person_1	Planning Meeting	2025-08-13 08:30:00	2025-08-13 11:30:00	180
Person_1	Sprint Planning	2025-08-13 11:30:00	2025-08-13 12:30:00	60
Person_1	Sprint Planning	2025-08-14 09:00:00	2025-08-14 13:00:00	240
Person_1	Strategy Session	2025-08-15 08:30:00	2025-08-15 12:30:00	240
Person_1	1:1 Meeting	2025-08-15 12:30:00	2025-08-15 14:00:00	90
Person_1	Demo	2025-08-15 14:15:00	2025-08-15 14:30:00	15
Person_1	Stakeholder Meeting	2025-08-18 08:15:00	2025-08-18 09:00:00	45
Person_1	Code Review	2025-08-19 13:45:00	2025-08-19 14:15:00	30
Person_1	Brainstorming	2025-08-20 12:45:00	2025-08-20 13:45:00	60
Person_1	Project Review	2025-08-20 13:45:00	2025-08-20 14:00:00	15
Person_1	Strategy Session	2025-08-21 10:00:00	2025-08-21 12:00:00	120
Person_1	Training Session	2025-08-21 12:00:00	2025-08-21 14:00:00	120
Person_1	Design Review	2025-08-22 08:00:00	2025-08-22 08:30:00	30
Person_1	Demo	2025-08-22 11:45:00	2025-08-22 13:15:00	90
Person_1	Product Demo	2025-08-25 08:30:00	2025-08-25 09:00:00	30
Person_1	Project Review	2025-08-25 10:45:00	2025-08-25 11:30:00	45
Person_1	Training Session	2025-08-25 12:15:00	2025-08-25 13:15:00	60
Person_1	Product Demo	2025-08-26 11:30:00	2025-08-26 12:15:00	45
Person_1	Stakeholder Meeting	2025-08-26 13:00:00	2025-08-26 14:30:00	90
Person_1	Product Demo	2025-08-26 14:30:00	2025-08-26 14:45:00	15
Person_1	1:1 Meeting	2025-08-27 09:00:00	2025-08-27 13:00:00	240
Person_1	Budget Review	2025-08-27 13:00:00	2025-08-27 13:45:00	45
Person_1	Sprint Planning	2025-08-27 13:45:00	2025-08-27 14:15:00	30
Person_1	Training Session	2025-08-27 14:15:00	2025-08-27 15:15:00	60
Person_1	Product Demo	2025-08-27 15:15:00	2025-08-27 15:45:00	30
Person_1	All Hands	2025-08-28 08:30:00	2025-08-28 09:00:00	30
Person_1	Interview	2025-08-28 10:30:00	2025-08-28 10:45:00	15
Person_1	All Hands	2025-08-28 11:30:00	2025-08-28 12:15:00	45
Person_1	Team Standup	2025-08-28 12:45:00	2025-08-28 15:45:00	180
Person_1	Interview	2025-08-28 15:45:00	2025-08-28 16:00:00	15
Person_1	Code Review	2025-08-29 09:15:00	2025-08-29 12:15:00	180
Person_1	Product Demo	2025-08-29 12:15:00	2025-08-29 12:45:00	30
Person_2	Training Session	2025-07-21 10:00:00	2025-07-21 13:00:00	180
Person_2	Team Standup	2025-07-21 13:00:00	2025-07-21 13:45:00	45
Person_2	Demo	2025-07-21 14:15:00	2025-07-21 15:00:00	45
Person_2	Client Call	2025-07-21 15:00:00	2025-07-21 15:45:00	45
Person_2	Strategy Session	2025-07-22 08:00:00	2025-07-22 09:00:00	60
Person_2	Design Review	2025-07-22 09:30:00	2025-07-22 10:30:00	60
Person_2	Code Review	2025-07-22 10:30:00	2025-07-22 12:30:00	120
Person_2	Training Session	2025-07-22 12:30:00	2025-07-22 15:30:00	180
Person_2	Product Demo	2025-07-22 15:30:00	2025-07-22 16:00:00	30
Person_2	Brainstorming	2025-07-23 08:45:00	2025-07-23 09:00:00	15
Person_2	1:1 Meeting	2025-07-23 10:00:00	2025-07-23 10:30:00	30
Person_2	Demo	2025-07-23 10:45:00	2025-07-23 13:45:00	180
Person_2	Project Review	2025-07-23 13:45:00	2025-07-23 14:00:00	15
Person_2	Product Demo	2025-07-23 14:00:00	2025-07-23 14:15:00	15
Person_2	Training Session	2025-07-23 14:15:00	2025-07-23 15:00:00	45
Person_2	Budget Review	2025-07-24 11:15:00	2025-07-24 13:15:00	120
Person_2	Sprint Planning	2025-07-24 13:30:00	2025-07-24 15:00:00	90
Person_2	Budget Review	2025-07-24 15:00:00	2025-07-24 15:30:00	30
Person_2	Brainstorming	2025-07-25 09:15:00	2025-07-25 12:15:00	180
Person_2	Budget Review	2025-07-25 12:15:00	2025-07-25 12:30:00	15
Person_2	Product Demo	2025-07-25 12:30:00	2025-07-25 14:00:00	90
Person_2	Strategy Session	2025-07-28 10:45:00	2025-07-28 14:45:00	240
Person_2	Code Review	2025-07-29 08:45:00	2025-07-29 10:45:00	120
Person_2	Brainstorming	2025-07-29 12:15:00	2025-07-29 13:45:00	90
Person_2	Project Review	2025-07-29 13:45:00	2025-07-29 14:30:00	45
Person_2	Team Standup	2025-07-30 09:15:00	2025-07-30 10:15:00	60
Person_2	Architecture Review	2025-07-30 10:15:00	2025-07-30 10:30:00	15
Person_2	Sprint Planning	2025-07-30 11:45:00	2025-07-30 12:15:00	30
Person_2	Team Standup	2025-07-31 09:15:00	2025-07-31 10:15:00	60
Person_2	Stakeholder Meeting	2025-07-31 10:15:00	2025-07-31 11:15:00	60
Person_2	Retrospective	2025-07-31 12:00:00	2025-07-31 15:00:00	180
Person_2	Sprint Planning	2025-07-31 15:00:00	2025-07-31 15:30:00	30
Person_2	Stakeholder Meeting	2025-08-01 10:45:00	2025-08-01 14:45:00	240
Person_2	All Hands	2025-08-01 14:45:00	2025-08-01 15:15:00	30
Person_2	Stakeholder Meeting	2025-08-04 10:30:00	2025-08-04 14:30:00	240
Person_2	Architecture Review	2025-08-04 14:30:00	2025-08-04 15:15:00	45
Person_2	Code Review	2025-08-04 15:15:00	2025-08-04 15:30:00	15
Person_2	Design Review	2025-08-05 10:15:00	2025-08-05 11:15:00	60
Person_2	Demo	2025-08-05 11:15:00	2025-08-05 12:15:00	60
Person_2	Project Review	2025-08-05 12:30:00	2025-08-05 14:30:00	120
Person_2	Budget Review	2025-08-05 14:30:00	2025-08-05 15:00:00	30
Person_2	Strategy Session	2025-08-06 14:00:00	2025-08-06 14:45:00	45
Person_2	1:1 Meeting	2025-08-07 09:45:00	2025-08-07 13:45:00	240
Person_2	Team Standup	2025-08-08 12:00:00	2025-08-08 15:00:00	180
Person_2	Technical Discussion	2025-08-08 15:15:00	2025-08-08 15:30:00	15
Person_2	Design Review	2025-08-11 09:15:00	2025-08-11 11:15:00	120
Person_2	Demo	2025-08-11 11:15:00	2025-08-11 11:30:00	15
Person_2	Product Demo	2025-08-11 11:30:00	2025-08-11 14:30:00	180
Person_2	Architecture Review	2025-08-11 14:30:00	2025-08-11 16:00:00	90
Person_2	Sprint Planning	2025-08-12 08:30:00	2025-08-12 08:45:00	15
Person_2	Design Review	2025-08-12 09:45:00	2025-08-12 11:45:00	120
Person_2	Retrospective	2025-08-12 11:45:00	2025-08-12 12:00:00	15
Person_2	Planning Meeting	2025-08-12 12:00:00	2025-08-12 12:45:00	45
Person_2	Retrospective	2025-08-12 15:30:00	2025-08-12 15:45:00	15
Person_2	Architecture Review	2025-08-13 08:30:00	2025-08-13 10:00:00	90
Person_2	Sprint Planning	2025-08-13 10:15:00	2025-08-13 13:15:00	180
Person_2	Project Review	2025-08-14 09:45:00	2025-08-14 11:45:00	120
Person_2	Architecture Review	2025-08-15 09:00:00	2025-08-15 10:00:00	60
Person_2	Strategy Session	2025-08-15 10:00:00	2025-08-15 10:15:00	15
Person_2	Strategy Session	2025-08-15 12:45:00	2025-08-15 13:15:00	30
Person_2	All Hands	2025-08-15 13:15:00	2025-08-15 13:30:00	15
Person_2	Brainstorming	2025-08-18 09:15:00	2025-08-18 11:15:00	120
Person_2	Planning Meeting	2025-08-18 14:30:00	2025-08-18 15:00:00	30
Person_2	Stakeholder Meeting	2025-08-19 08:30:00	2025-08-19 09:15:00	45
Person_2	Budget Review	2025-08-19 09:15:00	2025-08-19 10:15:00	60
Person_2	Project Review	2025-08-19 10:15:00	2025-08-19 13:15:00	180
Person_2	Product Demo	2025-08-19 13:15:00	2025-08-19 13:30:00	15
Person_2	Retrospective	2025-08-19 13:30:00	2025-08-19 15:00:00	90
Person_2	Technical Discussion	2025-08-19 15:00:00	2025-08-19 15:30:00	30
Person_2	Sprint Planning	2025-08-20 08:15:00	2025-08-20 12:15:00	240
Person_2	Planning Meeting	2025-08-20 12:15:00	2025-08-20 13:00:00	45
Person_2	Sprint Planning	2025-08-20 13:00:00	2025-08-20 14:00:00	60
Person_2	Design Review	2025-08-20 14:00:00	2025-08-20 16:00:00	120
Person_2	Brainstorming	2025-08-21 10:15:00	2025-08-21 14:15:00	240
Person_2	Interview	2025-08-22 08:45:00	2025-08-22 12:45:00	240
Person_2	Training Session	2025-08-22 12:45:00	2025-08-22 14:15:00	90
Person_2	Code Review	2025-08-25 08:30:00	2025-08-25 09:30:00	60
Person_2	Product Demo	2025-08-25 12:00:00	2025-08-25 15:00:00	180
Person_2	Architecture Review	2025-08-25 15:00:00	2025-08-25 16:00:00	60
Person_2	Budget Review	2025-08-26 08:45:00	2025-08-26 09:00:00	15
Person_2	Code Review	2025-08-26 11:15:00	2025-08-26 12:15:00	60
Person_2	Technical Discussion	2025-08-26 13:30:00	2025-08-26 15:00:00	90
Person_2	Design Review	2025-08-27 11:00:00	2025-08-27 13:00:00	120
Person_2	Product Demo	2025-08-27 13:00:00	2025-08-27 15:00:00	120
Person_2	Product Demo	2025-08-28 09:00:00	2025-08-28 11:00:00	120
Person_2	Strategy Session	2025-08-28 14:00:00	2025-08-28 14:30:00	30
Person_2	Strategy Session	2025-08-29 08:45:00	2025-08-29 10:15:00	90
Person_2	Architecture Review	2025-08-29 10:15:00	2025-08-29 11:15:00	60
Person_2	Interview	2025-08-29 11:15:00	2025-08-29 12:45:00	90
Person_2	Team Standup	2025-08-29 12:45:00	2025-08-29 13:30:00	45
Person_2	Technical Discussion	2025-08-29 14:00:00	2025-08-29 15:30:00	90
Person_3	Planning Meeting	2025-07-21 09:15:00	2025-07-21 13:15:00	240
Person_3	Architecture Review	2025-07-21 13:15:00	2025-07-21 13:30:00	15
Person_3	Architecture Review	2025-07-21 13:30:00	2025-07-21 15:00:00	90
Person_3	Budget Review	2025-07-21 15:00:00	2025-07-21 15:15:00	15
Person_3	Architecture Review	2025-07-21 15:15:00	2025-07-21 16:00:00	45
Person_3	Code Review	2025-07-22 08:30:00	2025-07-22 10:00:00	90
Person_3	Technical Discussion	2025-07-22 10:00:00	2025-07-22 10:45:00	45
Person_3	Budget Review	2025-07-22 11:30:00	2025-07-22 12:15:00	45
Person_3	Design Review	2025-07-22 12:15:00	2025-07-22 15:15:00	180
Person_3	1:1 Meeting	2025-07-22 15:15:00	2025-07-22 15:45:00	30
Person_3	Planning Meeting	2025-07-23 10:00:00	2025-07-23 10:45:00	45
Person_3	Strategy Session	2025-07-23 13:15:00	2025-07-23 14:15:00	60
Person_3	Project Review	2025-07-23 14:15:00	2025-07-23 15:45:00	90
Person_3	1:1 Meeting	2025-07-24 09:00:00	2025-07-24 13:00:00	240
Person_3	Budget Review	2025-07-24 13:00:00	2025-07-24 14:00:00	60
Person_3	Technical Discussion	2025-07-25 10:15:00	2025-07-25 11:15:00	60
Person_3	Client Call	2025-07-25 11:30:00	2025-07-25 12:30:00	60
Person_3	All Hands	2025-07-25 13:30:00	2025-07-25 14:30:00	60
Person_3	Planning Meeting	2025-07-28 08:30:00	2025-07-28 09:00:00	30
Person_3	Budget Review	2025-07-28 10:45:00	2025-07-28 14:45:00	240
Person_3	Product Demo	2025-07-28 14:45:00	2025-07-28 15:15:00	30
Person_3	Project Review	2025-07-29 08:00:00	2025-07-29 09:30:00	90
Person_3	Brainstorming	2025-07-29 10:45:00	2025-07-29 13:45:00	180
Person_3	Design Review	2025-07-29 13:45:00	2025-07-29 15:15:00	90
Person_3	Training Session	2025-07-29 15:15:00	2025-07-29 15:30:00	15
Person_3	Planning Meeting	2025-07-29 15:30:00	2025-07-29 15:45:00	15
Person_3	Sprint Planning	2025-07-30 09:15:00	2025-07-30 13:15:00	240
Person_3	Architecture Review	2025-07-30 13:15:00	2025-07-30 13:30:00	15
Person_3	Client Call	2025-07-30 13:30:00	2025-07-30 14:15:00	45
Person_3	Demo	2025-07-31 10:00:00	2025-07-31 12:00:00	120
Person_3	Project Review	2025-07-31 12:00:00	2025-07-31 12:15:00	15
Person_3	Retrospective	2025-07-31 14:30:00	2025-07-31 15:00:00	30
Person_3	1:1 Meeting	2025-08-01 09:45:00	2025-08-01 13:45:00	240
Person_3	1:1 Meeting	2025-08-01 13:45:00	2025-08-01 15:45:00	120
Person_3	Product Demo	2025-08-01 15:45:00	2025-08-01 16:00:00	15
Person_3	Brainstorming	2025-08-04 08:00:00	2025-08-04 08:30:00	30
Person_3	Architecture Review	2025-08-04 11:30:00	2025-08-04 13:00:00	90
Person_3	Code Review	2025-08-05 08:45:00	2025-08-05 11:45:00	180
Person_3	Client Call	2025-08-05 11:45:00	2025-08-05 12:15:00	30
Person_3	Budget Review	2025-08-05 12:15:00	2025-08-05 13:00:00	45
Person_3	Team Standup	2025-08-05 13:00:00	2025-08-05 14:30:00	90
Person_3	Code Review	2025-08-06 10:00:00	2025-08-06 14:00:00	240
Person_3	Training Session	2025-08-07 08:30:00	2025-08-07 09:15:00	45
Person_3	Budget Review	2025-08-08 10:15:00	2025-08-08 10:30:00	15
Person_3	All Hands	2025-08-08 11:30:00	2025-08-08 15:30:00	240
Person_3	Demo	2025-08-11 11:45:00	2025-08-11 14:45:00	180
Person_3	Code Review	2025-08-11 14:45:00	2025-08-11 15:45:00	60
Person_3	Demo	2025-08-12 08:15:00	2025-08-12 11:15:00	180
Person_3	Retrospective	2025-08-12 11:15:00	2025-08-12 15:15:00	240
Person_3	1:1 Meeting	2025-08-12 15:15:00	2025-08-12 15:45:00	30
Person_3	Design Review	2025-08-13 08:45:00	2025-08-13 10:45:00	120
Person_3	All Hands	2025-08-14 14:00:00	2025-08-14 14:15:00	15
Person_3	Architecture Review	2025-08-15 08:30:00	2025-08-15 09:15:00	45
Person_3	Brainstorming	2025-08-15 10:45:00	2025-08-15 12:15:00	90
Person_3	Architecture Review	2025-08-18 10:30:00	2025-08-18 13:30:00	180
Person_3	Project Review	2025-08-18 13:30:00	2025-08-18 13:45:00	15
Person_3	Product Demo	2025-08-18 13:45:00	2025-08-18 15:45:00	120
Person_3	Client Call	2025-08-19 08:45:00	2025-08-19 11:45:00	180
Person_3	Project Review	2025-08-19 11:45:00	2025-08-19 13:15:00	90
Person_3	Demo	2025-08-20 08:15:00	2025-08-20 08:30:00	15
Person_3	Interview	2025-08-20 10:30:00	2025-08-20 10:45:00	15
Person_3	Project Review	2025-08-21 09:15:00	2025-08-21 10:00:00	45
Person_3	Design Review	2025-08-21 10:00:00	2025-08-21 10:45:00	45
Person_3	Architecture Review	2025-08-21 10:45:00	2025-08-21 13:45:00	180
Person_3	Team Standup	2025-08-21 13:45:00	2025-08-21 14:15:00	30
Person_3	Design Review	2025-08-22 08:30:00	2025-08-22 09:15:00	45
Person_3	Retrospective	2025-08-22 09:30:00	2025-08-22 11:00:00	90
Person_3	Design Review	2025-08-22 11:00:00	2025-08-22 14:00:00	180
Person_3	Retrospective	2025-08-22 14:00:00	2025-08-22 14:15:00	15
Person_3	Retrospective	2025-08-25 08:00:00	2025-08-25 09:30:00	90
Person_3	Technical Discussion	2025-08-25 09:30:00	2025-08-25 11:00:00	90
Person_3	Architecture Review	2025-08-25 13:00:00	2025-08-25 13:15:00	15
Person_3	Interview	2025-08-26 13:00:00	2025-08-26 14:00:00	60
Person_3	Strategy Session	2025-08-26 14:00:00	2025-08-26 15:00:00	60
Person_3	1:1 Meeting	2025-08-26 15:00:00	2025-08-26 15:30:00	30
Person_3	Project Review	2025-08-27 09:00:00	2025-08-27 11:00:00	120
Person_3	Sprint Planning	2025-08-27 11:00:00	2025-08-27 12:30:00	90
Person_3	Training Session	2025-08-28 09:15:00	2025-08-28 10:45:00	90
Person_3	Budget Review	2025-08-28 11:15:00	2025-08-28 15:15:00	240
Person_3	Project Review	2025-08-28 15:15:00	2025-08-28 15:30:00	15
Person_3	Retrospective	2025-08-28 15:30:00	2025-08-28 15:45:00	15
Person_3	Client Call	2025-08-29 12:30:00	2025-08-29 14:00:00	90
Person_4	Code Review	2025-07-21 08:45:00	2025-07-21 10:45:00	120
Person_4	Retrospective	2025-07-21 12:45:00	2025-07-21 14:15:00	90
Person_4	Code Review	2025-07-22 13:00:00	2025-07-22 15:00:00	120
Person_4	Design Review	2025-07-22 15:00:00	2025-07-22 15:30:00	30
Person_4	Budget Review	2025-07-23 08:15:00	2025-07-23 08:30:00	15
Person_4	Client Call	2025-07-23 08:30:00	2025-07-23 12:30:00	240
Person_4	All Hands	2025-07-23 12:30:00	2025-07-23 15:30:00	180
Person_4	Client Call	2025-07-24 11:30:00	2025-07-24 12:15:00	45
Person_4	Interview	2025-07-25 08:15:00	2025-07-25 09:45:00	90
Person_4	Client Call	2025-07-25 11:00:00	2025-07-25 12:00:00	60
Person_4	Design Review	2025-07-25 12:00:00	2025-07-25 13:00:00	60
Person_4	Interview	2025-07-25 13:00:00	2025-07-25 15:00:00	120
Person_4	Design Review	2025-07-28 15:00:00	2025-07-28 15:30:00	30
Person_4	Demo	2025-07-29 08:15:00	2025-07-29 08:30:00	15
Person_4	Interview	2025-07-30 08:00:00	2025-07-30 08:45:00	45
Person_4	Product Demo	2025-07-30 08:45:00	2025-07-30 09:45:00	60
Person_4	Team Standup	2025-07-30 09:45:00	2025-07-30 10:30:00	45
Person_4	Sprint Planning	2025-07-30 10:30:00	2025-07-30 10:45:00	15
Person_4	Training Session	2025-07-30 10:45:00	2025-07-30 11:00:00	15
Person_4	All Hands	2025-07-30 11:00:00	2025-07-30 11:15:00	15
Person_4	All Hands	2025-07-30 11:15:00	2025-07-30 12:15:00	60
Person_4	Training Session	2025-07-30 12:30:00	2025-07-30 13:15:00	45
Person_4	Strategy Session	2025-07-30 13:15:00	2025-07-30 14:15:00	60
Person_4	Demo	2025-07-30 14:15:00	2025-07-30 15:15:00	60
Person_4	Interview	2025-07-31 09:45:00	2025-07-31 13:45:00	240
Person_4	Stakeholder Meeting	2025-07-31 13:45:00	2025-07-31 14:15:00	30
Person_4	1:1 Meeting	2025-07-31 14:15:00	2025-07-31 15:15:00	60
Person_4	Architecture Review	2025-08-01 08:45:00	2025-08-01 11:45:00	180
Person_4	Team Standup	2025-08-01 11:45:00	2025-08-01 13:15:00	90
Person_4	Retrospective	2025-08-01 13:15:00	2025-08-01 13:30:00	15
Person_4	All Hands	2025-08-04 08:30:00	2025-08-04 09:15:00	45
Person_4	Brainstorming	2025-08-04 10:30:00	2025-08-04 11:00:00	30
Person_4	Technical Discussion	2025-08-04 13:15:00	2025-08-04 14:45:00	90
Person_4	Client Call	2025-08-05 08:45:00	2025-08-05 11:45:00	180
Person_4	Design Review	2025-08-05 11:45:00	2025-08-05 12:45:00	60
Person_4	Stakeholder Meeting	2025-08-05 12:45:00	2025-08-05 14:15:00	90
Person_4	Sprint Planning	2025-08-06 09:30:00	2025-08-06 13:30:00	240
Person_4	Sprint Planning	2025-08-06 13:30:00	2025-08-06 14:00:00	30
Person_4	Training Session	2025-08-06 14:00:00	2025-08-06 16:00:00	120
Person_4	Client Call	2025-08-07 11:30:00	2025-08-07 12:00:00	30
Person_4	Sprint Planning	2025-08-08 11:00:00	2025-08-08 14:00:00	180
Person_4	1:1 Meeting	2025-08-08 14:00:00	2025-08-08 14:45:00	45
Person_4	Technical Discussion	2025-08-11 08:45:00	2025-08-11 10:45:00	120
Person_4	Interview	2025-08-11 10:45:00	2025-08-11 11:45:00	60
Person_4	Architecture Review	2025-08-11 11:45:00	2025-08-11 12:45:00	60
Person_4	Budget Review	2025-08-11 13:00:00	2025-08-11 14:30:00	90
Person_4	Training Session	2025-08-12 09:30:00	2025-08-12 09:45:00	15
Person_4	Code Review	2025-08-12 12:45:00	2025-08-12 14:15:00	90
Person_4	Training Session	2025-08-12 14:15:00	2025-08-12 14:30:00	15
Person_4	All Hands	2025-08-13 08:30:00	2025-08-13 11:30:00	180
Person_4	Technical Discussion	2025-08-13 11:30:00	2025-08-13 12:15:00	45
Person_4	Team Standup	2025-08-13 12:15:00	2025-08-13 14:15:00	120
Person_4	Planning Meeting	2025-08-14 09:15:00	2025-08-14 13:15:00	240
Person_4	Sprint Planning	2025-08-14 13:15:00	2025-08-14 14:15:00	60
Person_4	Stakeholder Meeting	2025-08-14 14:15:00	2025-08-14 14:45:00	30
Person_4	All Hands	2025-08-15 08:15:00	2025-08-15 08:45:00	30
Person_4	Brainstorming	2025-08-15 14:15:00	2025-08-15 15:00:00	45
Person_4	Training Session	2025-08-18 09:45:00	2025-08-18 13:45:00	240
Person_4	Stakeholder Meeting	2025-08-18 14:15:00	2025-08-18 15:15:00	60
Person_4	Strategy Session	2025-08-19 08:00:00	2025-08-19 08:15:00	15
Person_4	Architecture Review	2025-08-19 08:15:00	2025-08-19 08:45:00	30
Person_4	Retrospective	2025-08-19 09:45:00	2025-08-19 10:00:00	15
Person_4	All Hands	2025-08-19 10:00:00	2025-08-19 11:30:00	90
Person_4	Budget Review	2025-08-19 11:30:00	2025-08-19 15:30:00	240
Person_4	Product Demo	2025-08-20 12:15:00	2025-08-20 13:15:00	60
Person_4	Design Review	2025-08-21 08:00:00	2025-08-21 11:00:00	180
Person_4	1:1 Meeting	2025-08-21 11:15:00	2025-08-21 11:45:00	30
Person_4	Retrospective	2025-08-21 12:45:00	2025-08-21 15:45:00	180
Person_4	Brainstorming	2025-08-22 09:15:00	2025-08-22 11:15:00	120
Person_4	Team Standup	2025-08-22 11:15:00	2025-08-22 11:45:00	30
Person_4	Interview	2025-08-22 11:45:00	2025-08-22 15:45:00	240
Person_4	Technical Discussion	2025-08-25 11:30:00	2025-08-25 12:30:00	60
Person_4	Stakeholder Meeting	2025-08-26 08:30:00	2025-08-26 09:15:00	45
Person_4	All Hands	2025-08-26 09:15:00	2025-08-26 10:15:00	60
Person_4	Brainstorming	2025-08-26 10:15:00	2025-08-26 10:30:00	15
Person_4	Architecture Review	2025-08-26 10:30:00	2025-08-26 10:45:00	15
Person_4	Demo	2025-08-26 10:45:00	2025-08-26 12:45:00	120
Person_4	Stakeholder Meeting	2025-08-26 12:45:00	2025-08-26 13:15:00	30
Person_4	All Hands	2025-08-26 13:30:00	2025-08-26 15:30:00	120
Person_4	Technical Discussion	2025-08-27 10:45:00	2025-08-27 14:45:00	240
Person_4	1:1 Meeting	2025-08-28 08:00:00	2025-08-28 12:00:00	240
Person_4	Project Review	2025-08-28 12:00:00	2025-08-28 12:45:00	45
Person_4	Technical Discussion	2025-08-28 12:45:00	2025-08-28 14:15:00	90
Person_4	Design Review	2025-08-28 14:15:00	2025-08-28 14:45:00	30
Person_4	Stakeholder Meeting	2025-08-28 14:45:00	2025-08-28 15:00:00	15
Person_4	Product Demo	2025-08-28 15:00:00	2025-08-28 16:00:00	60
Person_4	All Hands	2025-08-29 10:00:00	2025-08-29 14:00:00	240
Person_4	Brainstorming	2025-08-29 14:00:00	2025-08-29 15:00:00	60
Person_5	Code Review	2025-07-21 08:15:00	2025-07-21 09:00:00	45
Person_5	Stakeholder Meeting	2025-07-21 09:00:00	2025-07-21 11:00:00	120
